soil_id,date,paired_flight,transect,meter_location,electro_cond_mS_per_cm,season,landcover
37,3/23/22,3/22/22,COPR_1_EW,4,0.42,Spring,vegetated
38,3/23/22,3/22/22,COPR_1_EW,12,0.72,Spring,vegetated
39,3/23/22,3/22/22,COPR_1_EW,20,0.5,Spring,vegetated
40,3/23/22,3/22/22,COPR_1_EW,24,0.62,Spring,vegetated
41,3/23/22,3/22/22,COPR_1_EW,28,0.87,Spring,vegetated
42,3/23/22,3/22/22,COPR_2_NS,4,7.76,Spring,vegetated
43,3/23/22,3/22/22,COPR_2_NS,12,9.35,Spring,vegetated
44,3/23/22,3/22/22,COPR_2_NS,20,13.54,Spring,soil
45,3/23/22,3/22/22,COPR_2_NS,28,12.18,Spring,soil
46,3/23/22,3/22/22,COPR_2_EW,4,8.05,Spring,vegetated
47,3/23/22,3/22/22,COPR_2_EW,28,10.53,Spring,vegetated
48,3/24/22,3/22/22,NCOS_1_NS,4,0.45,Spring,vegetated
49,3/24/22,3/22/22,NCOS_1_NS,12,1.14,Spring,vegetated
50,3/24/22,3/22/22,NCOS_1_NS,20,3.97,Spring,vegetated
51,3/24/22,3/22/22,NCOS_1_NS,28,5.12,Spring,vegetated
52,3/24/22,3/22/22,NCOS_2_NS,4,4.08,Spring,vegetated
53,3/24/22,3/22/22,NCOS_2_NS,12,5.27,Spring,vegetated
54,3/24/22,3/22/22,NCOS_2_NS,20,4.98,Spring,soil
55,3/24/22,3/22/22,NCOS_2_NS,28,3.91,Spring,soil
56,3/24/22,3/22/22,NCOS_2_EW,4,0.74,Spring,vegetated
57,3/24/22,3/22/22,NCOS_2_EW,12,1.28,Spring,vegetated
58,3/24/22,3/22/22,NCOS_2_EW,20,4.69,Spring,vegetated
59,3/24/22,3/22/22,NCOS_2_EW,28,4.42,Spring,vegetated